"linha","tipo","marca","modelo","nome","descricao","tem_pdf","pdf_url"
"75","Trator Agrícola","CASE","FARMALL 80 CAB","MANUAL DE SERVIÇOS DOS TRATORES CASE IH FARMAL 60 - 70 – 80 - 95","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/01957100-b0de-7caf-821c-b370c6442708/019e17ab-aeea-72f0-a341-453480963081.pdf"
"76","Trator Agrícola","CASE","FARMALL 80 PLAT","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a2-5eac-74ca-86da-7ee676ba453c/019e17ad-2244-7e5e-a502-7f3484b19f4a.pdf"
"77","Trator Agrícola","CASE","FARMALL 80 PLAT","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 80 - 90 - 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a2-5eac-74ca-86da-7ee676ba453c/019e17ad-2296-7812-98c1-be70299ed91c.pdf"
"78","Trator Agrícola","CASE","FARMALL 80 PLAT","FOLHETO TECNICO DOS TRATORES CASE MODELOS 80 – 90 – 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a2-5eac-74ca-86da-7ee676ba453c/019e17ad-22b0-795b-84d1-fa8db9b7e5bf.pdf"
"79","Trator Agrícola","CASE","FARMALL 80 PLAT","MANUAL DE SERVIÇOS DOS TRATORES CASE IH FARMAL 60 - 70 – 80 - 95","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a2-5eac-74ca-86da-7ee676ba453c/019e17ad-2371-702f-a1f0-1ee67c617fd7.pdf"
"80","Trator Agrícola","CASE","FARMALL 90 CAB","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf95-7f36-9d04-b678b99a980a/019e17ad-c6af-7bc4-975f-b2d56d505648.pdf"
"81","Trator Agrícola","CASE","FARMALL 90 CAB","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 80 - 90 - 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf95-7f36-9d04-b678b99a980a/019e17ad-c700-733e-a30f-7dcd890c4a8d.pdf"
"82","Trator Agrícola","CASE","FARMALL 90 CAB","FOLHETO TECNICO DOS TRATORES CASE MODELOS 80 – 90 – 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0196f443-bf95-7f36-9d04-b678b99a980a/019e17ad-c725-7920-857b-9b93053f27b9.pdf"
"83","Trator Agrícola","CASE","FARMALL 90 PLAT","CATALOGO DE PEÇAS DE REPOSIÇÃO PARA TRATORES DA MARCA CASE","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a3-67fb-7ffa-bf3b-9545de1b3999/019e17ae-41a8-74b3-a1ae-7757376ba8a4.pdf"
"84","Trator Agrícola","CASE","FARMALL 90 PLAT","ESPECIFICAÇÕES TECNICAS DOS TRATORES CASE IH 80 - 90 - 100","-","true","https://cdn.appmaq.com.br/appmaq-media/manuals/0198e2a3-67fb-7ffa-bf3b-9545de1b3999/019e17ae-41f6-736f-a781-bb9795449bdc.pdf"
